소재지 주소,용도,연면적,총주차대수,옥내기계식,옥외기계식,옥내자주식,옥외자주식,사용승인일,데이터 기준일자
서울특별시 동대문구 용두동 112-96,공동주택,635.52,8,0,0,0,8,2008-11-17,2023-03-22
서울특별시 동대문구 용두동 112-105,공동주택,683.61,8,0,0,0,8,2008-04-02,2023-03-22
서울특별시 동대문구 용두동 118-9,공동주택,192.06,1,0,0,0,1,1995-05-11,2023-03-22
서울특별시 동대문구 용두동 118-47,공동주택,850.51,10,0,0,4,6,2017-08-04,2023-03-22
서울특별시 동대문구 용두동 118-60,공동주택,723.86,10,0,0,0,10,2022-08-05,2023-03-22
서울특별시 동대문구 용두동 122-1,공동주택,644.1,7,0,0,6,1,2014-03-27,2023-03-22
서울특별시 동대문구 용두동 122-38,공동주택,549.46,6,0,0,2,4,2013-12-09,2023-03-22
서울특별시 동대문구 용두동 129-6,공동주택,646.86,5,0,0,0,5,1993-07-23,2023-03-22
서울특별시 동대문구 용두동 129-18,공동주택,399.52,4,0,0,0,4,2005-07-18,2023-03-22
서울특별시 동대문구 용두동 129-114,공동주택,646.06,8,0,0,8,0,2017-01-13,2023-03-22
서울특별시 동대문구 용두동 129-125,공동주택,541.58,8,0,0,4,4,2017-02-22,2023-03-22
서울특별시 동대문구 용두동 129-127,공동주택,1959.55,24,0,0,14,10,2017-08-01,2023-03-22
서울특별시 동대문구 용두동 129-133,공동주택,776.65,7,0,0,0,7,2002-08-02,2023-03-22
서울특별시 동대문구 용두동 129-135,공동주택,299,2,0,0,0,2,1992-05-15,2023-03-22
서울특별시 동대문구 용두동 129-152,공동주택,587.59,12,0,0,3,9,2016-12-15,2023-03-22
서울특별시 동대문구 용두동 129-159,공동주택,358.56,3,0,0,0,3,1993-05-12,2023-03-22
서울특별시 동대문구 용두동 129-168,공동주택,519.52,6,0,0,6,0,2012-04-27,2023-03-22
서울특별시 동대문구 용두동 129-172,공동주택,833.6,11,0,0,11,0,2020-09-18,2023-03-22
서울특별시 동대문구 용두동 129-188,공동주택,539.39,7,0,0,4,3,2011-11-03,2023-03-22
서울특별시 동대문구 용두동 129-231,공동주택,659.15,11,0,0,11,0,2017-06-13,2023-03-22
서울특별시 동대문구 용두동 129-267,공동주택,1332.98,13,0,0,6,7,2010-06-16,2023-03-22
서울특별시 동대문구 용두동 129-270,공동주택,709.64,8,0,0,0,8,2020-01-23,2023-03-22
서울특별시 동대문구 용두동 129-275,공동주택,730.4,6,0,0,4,2,2016-05-10,2023-03-22
서울특별시 동대문구 용두동 129-294,공동주택,650.02,8,0,0,8,0,2017-01-18,2023-03-22
서울특별시 동대문구 용두동 129-298,공동주택,631.22,8,0,0,0,8,2015-12-07,2023-03-22
서울특별시 동대문구 용두동 129-327,공동주택,636.24,8,0,0,0,8,2015-12-11,2023-03-22
서울특별시 동대문구 용두동 129-406,공동주택,419.89,5,0,0,5,0,2022-08-01,2023-03-22
서울특별시 동대문구 용두동 138-27,공동주택,550.54,0,0,0,0,0,1979-06-23,2023-03-22
서울특별시 동대문구 용두동 138-31,공동주택,553.88,7,0,0,0,7,2008-12-11,2023-03-22
서울특별시 동대문구 용두동 138-32,공동주택,1325.82,16,0,0,14,2,2008-07-21,2023-03-22
서울특별시 동대문구 용두동 138-33,공동주택,508.25,5,0,0,0,5,2003-07-31,2023-03-22
서울특별시 동대문구 용두동 138-34,공동주택,855.17,13,0,0,13,0,2004-06-12,2023-03-22
서울특별시 동대문구 용두동 138-35,공동주택,708.14,11,0,0,3,8,2021-03-12,2023-03-22
서울특별시 동대문구 용두동 138-41,공동주택,29819.68,197,85,0,110,2,1998-10-02,2023-03-22
서울특별시 동대문구 용두동 138-45,공동주택,1394.38,12,0,0,12,0,2001-12-28,2023-03-22
서울특별시 동대문구 용두동 138-46,공동주택,1347.96,11,0,0,11,0,2002-04-23,2023-03-22
서울특별시 동대문구 용두동 138-48,공동주택,1232.3,12,0,0,10,2,2014-05-12,2023-03-22
서울특별시 동대문구 용두동 138-49,공동주택,1432.43,12,0,0,12,0,2003-01-15,2023-03-22
